timestamp,bot_id,event_type,value
2026-04-09T19:45:19.757892,2,energy_delta,-5
2026-04-09T19:45:19.757942,2,proximity,2
2026-04-09T19:45:20.265774,1,collision,-5
2026-04-09T19:45:20.265903,1,energy_delta,-5
2026-04-09T19:45:20.265920,1,proximity,2
2026-04-09T19:45:20.773580,2,collision,-5
2026-04-09T19:45:20.773804,2,energy_delta,-5
2026-04-09T19:45:21.287991,1,collision,-5
2026-04-09T19:45:21.288164,1,energy_delta,-5
2026-04-09T19:45:21.797799,2,collision,-5
2026-04-09T19:45:21.797995,2,energy_delta,-5
2026-04-09T19:45:22.311175,1,collision,-5
2026-04-09T19:45:22.311263,1,energy_delta,-5
2026-04-09T19:45:22.819670,2,collision,-5
2026-04-09T19:45:22.819780,2,energy_delta,-5
2026-04-09T19:45:23.332715,1,collision,-5
2026-04-09T19:45:23.332901,1,energy_delta,-5
2026-04-09T19:45:23.833412,2,collision,-5
2026-04-09T19:45:23.833571,2,energy_delta,-5
2026-04-09T19:45:24.348480,1,collision,-5
2026-04-09T19:45:24.348689,1,energy_delta,-5
2026-04-09T19:45:24.848565,2,collision,-5
2026-04-09T19:45:24.848727,2,energy_delta,-5
2026-04-09T19:45:25.349569,1,collision,-5
2026-04-09T19:45:25.349703,1,energy_delta,-5
2026-04-09T19:45:25.858664,2,collision,-5
2026-04-09T19:45:25.858769,2,energy_delta,-5
2026-04-09T19:45:26.369761,1,collision,-5
2026-04-09T19:45:26.369921,1,energy_delta,-5
2026-04-09T19:45:26.874003,2,collision,-5
2026-04-09T19:45:26.874131,2,energy_delta,-5
2026-04-09T19:45:27.381941,1,collision,-5
2026-04-09T19:45:27.382032,1,energy_delta,-5
2026-04-09T19:45:27.894885,2,collision,-5
2026-04-09T19:45:27.894975,2,energy_delta,-5
2026-04-09T19:45:28.401813,1,collision,-5
2026-04-09T19:45:28.401975,1,energy_delta,-5
2026-04-09T19:45:28.912818,2,collision,-5
2026-04-09T19:45:28.912962,2,energy_delta,-5
2026-04-09T19:45:29.416027,1,collision,-5
2026-04-09T19:45:29.416186,1,energy_delta,-5
2026-04-09T19:45:29.924582,2,collision,-5
2026-04-09T19:45:29.924678,2,energy_delta,-5
2026-04-09T19:45:30.436153,1,collision,-5
2026-04-09T19:45:30.436309,1,energy_delta,-5
2026-04-09T19:45:30.936387,2,collision,-5
2026-04-09T19:45:30.936508,2,energy_delta,-5
2026-04-09T19:45:31.446165,1,collision,-5
2026-04-09T19:45:31.446321,1,energy_delta,-5
2026-04-09T19:45:31.954801,2,collision,-5
2026-04-09T19:45:31.954960,2,energy_delta,-5
2026-04-09T19:45:32.465884,1,collision,-5
2026-04-09T19:45:32.465973,1,energy_delta,-5
2026-04-09T19:45:33.477823,1,collision,-5
2026-04-09T19:45:33.477981,1,energy_delta,-5
2026-04-09T19:45:34.503211,1,collision,-5
2026-04-09T19:45:34.503374,1,energy_delta,-5
2026-04-09T19:45:35.521552,1,collision,-5
2026-04-09T19:45:35.521715,1,energy_delta,-5
2026-04-09T19:45:36.541556,1,collision,-5
2026-04-09T19:45:36.541642,1,energy_delta,-5
2026-04-09T19:45:37.559662,1,collision,-5
2026-04-09T19:45:37.559847,1,energy_delta,-5
2026-04-09T19:45:38.568905,1,collision,-5
2026-04-09T19:45:38.569053,1,energy_delta,-5
2026-04-09T19:45:39.585726,1,collision,-5
2026-04-09T19:45:39.585888,1,energy_delta,-5
2026-04-09T19:45:40.600438,1,collision,-5
2026-04-09T19:45:40.600602,1,energy_delta,-5
2026-04-09T19:45:41.613894,1,collision,-5
2026-04-09T19:45:41.614060,1,energy_delta,-5
2026-04-09T19:45:42.626050,1,collision,-5
2026-04-09T19:45:42.626247,1,energy_delta,-5
2026-04-09T19:45:43.636018,1,collision,-5
2026-04-09T19:45:43.636151,1,energy_delta,-5
2026-04-09T19:45:44.653992,1,collision,-5
2026-04-09T19:45:44.654157,1,energy_delta,-5
2026-04-09T19:45:45.665807,1,collision,-5
2026-04-09T19:45:45.666006,1,energy_delta,-5
2026-04-09T19:45:46.673894,1,collision,-5
2026-04-09T19:45:46.674093,1,energy_delta,-5
2026-04-09T19:50:43.848892,1,proximity,1
2026-04-09T19:50:43.867322,2,collision,-5
2026-04-09T19:50:43.867389,2,energy_delta,-5
2026-04-09T19:50:43.867409,2,proximity,1
2026-04-09T19:50:44.362756,1,collision,-5
2026-04-09T19:50:44.362929,1,energy_delta,-5
2026-04-09T19:50:44.362984,1,proximity,1
2026-04-09T19:50:44.380775,2,collision,-5
2026-04-09T19:50:44.380844,2,energy_delta,-5
2026-04-09T19:50:44.380869,2,proximity,1
2026-04-09T19:50:44.877259,1,collision,-5
2026-04-09T19:50:44.877342,1,energy_delta,-5
2026-04-09T19:50:44.877360,1,proximity,1
2026-04-09T19:50:44.895287,2,collision,-5
2026-04-09T19:50:44.895410,2,energy_delta,-5
2026-04-09T19:50:44.895462,2,proximity,1
2026-04-09T19:50:45.382202,1,collision,-5
2026-04-09T19:50:45.382338,1,energy_delta,-5
2026-04-09T19:50:45.382377,1,proximity,2
2026-04-09T19:50:45.400033,2,collision,-5
2026-04-09T19:50:45.400164,2,energy_delta,-5
2026-04-09T19:50:45.400218,2,proximity,1
2026-04-09T19:50:45.882825,1,collision,-5
2026-04-09T19:50:45.882947,1,energy_delta,-5
2026-04-09T19:50:45.882984,1,proximity,1
2026-04-09T19:50:45.893655,2,collision,-5
2026-04-09T19:50:45.893748,2,energy_delta,-5
2026-04-09T19:50:45.893785,2,proximity,1
2026-04-09T19:50:46.392313,1,collision,-5
2026-04-09T19:50:46.392412,1,energy_delta,-5
2026-04-09T19:50:46.392429,1,proximity,1
2026-04-09T19:50:46.409120,2,collision,-5
2026-04-09T19:50:46.409175,2,energy_delta,-5
2026-04-09T19:50:46.409192,2,proximity,1
2026-04-09T19:50:46.892129,1,collision,-5
2026-04-09T19:50:46.892285,1,energy_delta,-5
2026-04-09T19:50:46.892335,1,proximity,2
2026-04-09T19:50:46.910302,2,collision,-5
2026-04-09T19:50:46.910434,2,energy_delta,-5
2026-04-09T19:50:46.910488,2,proximity,2
2026-04-09T19:50:47.393960,1,collision,-5
2026-04-09T19:50:47.394144,1,energy_delta,-5
2026-04-09T19:50:47.394194,1,proximity,1
2026-04-09T19:50:47.413723,2,collision,-5
2026-04-09T19:50:47.413846,2,energy_delta,-5
2026-04-09T19:50:47.413895,2,proximity,2
2026-04-09T19:50:47.907693,1,collision,-5
2026-04-09T19:50:47.907825,1,energy_delta,-5
2026-04-09T19:50:47.907862,1,proximity,2
2026-04-09T19:50:47.926179,2,collision,-5
2026-04-09T19:50:47.926309,2,energy_delta,-5
2026-04-09T19:50:47.926353,2,proximity,2
2026-04-09T19:50:48.411287,1,collision,-5
2026-04-09T19:50:48.411472,1,energy_delta,-5
2026-04-09T19:50:48.422499,2,collision,-5
2026-04-09T19:50:48.422568,2,energy_delta,-5
2026-04-09T19:50:48.921739,1,collision,-5
2026-04-09T19:50:48.921870,1,energy_delta,-5
2026-04-09T19:50:48.939450,2,collision,-5
2026-04-09T19:50:48.939515,2,energy_delta,-5
2026-04-09T19:50:49.422705,1,collision,-5
2026-04-09T19:50:49.422857,1,energy_delta,-5
2026-04-09T19:50:49.442384,2,collision,-5
2026-04-09T19:50:49.442474,2,energy_delta,-5
2026-04-09T19:50:49.925597,1,collision,-5
2026-04-09T19:50:49.925761,1,energy_delta,-5
2026-04-09T19:50:49.943437,2,collision,-5
2026-04-09T19:50:49.943505,2,energy_delta,-5
2026-04-09T19:50:50.432008,1,collision,-5
